"mu.true","sigma.true","tau.true","muS","sigmaS","tauS"
0.0124334425791544,0.00860428999608525,0.0157133910303167,0.0515286575135098,0.127108097414062,0.0704999862149365
0.0221026358513259,0.012746807384435,0.0220884238214831,0.0407438823898101,0.0280827358221195,0.0248508695038714
0.00756168605737408,0.00560004271516718,0.00932622570892032,0.0268912511773265,0.0270881017428918,0.0258979154263455
0.0142109781994668,0.00929027158886807,0.0149612671255519,0.053382550472704,0.0792311575694123,0.0685400931366189
0.0125863657903869,0.00514561943180373,0.0115739564755157,0.0322277791769628,0.0262050102480293,0.0342494886994153
0.0135066105953946,0.00545134729676121,0.012777154375718,0.0293506121850549,0.0315186479556875,0.0299386277512038
0.0102154468928901,0.00754137482239232,0.0120869677805813,0.0416645369968441,0.0463568820338882,0.0502432240186409
0.0121162398866638,0.00744277997372317,0.0131449184547528,0.0210075379553719,0.0127998314570879,0.0150558772579181
0.0280257657678679,0.0108443396084451,0.0252942940200078,0.0250377477373671,0.0189144619680601,0.0162050214595016
0.0104241397536441,0.00685215083370195,0.0112165461465923,0.030775467355166,0.044412899261648,0.0245991878639821
0.0127829596755049,0.00922086819487983,0.0171409500953273,0.0518280672585294,0.22888906420675,0.0647305107649954
0.00640783616486708,0.00432417370432704,0.00746082647287837,0.0219479045571684,0.0198720128187871,0.0223735108352403
0.0162499654983722,0.0112258255463403,0.0187032913303,0.0156468357258884,0.0123597488574491,0.0122457615534123
0.00961294795057336,0.0050882666938837,0.00916752458683846,0.0197128075344648,0.0182406984751595,0.0140186484658059
0.0116180339851091,0.00478246076542289,0.0104775362868676,0.0369522573862841,0.0279803909578658,0.0512972262573861
0.0138516624290485,0.00930617438551631,0.0165842864440643,0.0353420336273558,0.0286814296937092,0.0285553955710635
0.00876851434132434,0.00652949523675883,0.00945204566391836,0.0424363120531093,0.0544554551807579,0.0566912963858098
0.0182769923042346,0.012501375912948,0.0191147668048403,0.0352608546483362,0.0428901093627769,0.0293331806840147
0.0157762390644169,0.0111979120410269,0.0178628520532506,0.0262856212984069,0.0206793866383634,0.0177329300844211
0.0100697143522073,0.00693819373552903,0.0102100769952146,0.0524168026252359,0.0757028481403507,0.0742982491697875
0.0150862700229643,0.0121595739835966,0.0195200071599039,0.040331553359134,0.0410253737202186,0.0679328411140979
0.0117277487134686,0.00813327117351719,0.0140479513301944,0.0484151857487534,0.101980331452316,0.0612049284614016
0.0167607826413275,0.00960532369374069,0.0165722261961908,0.0176783681006018,0.0135180305517166,0.0141975795456994
0.0104089083410766,0.00683163725466471,0.0114547001514621,0.0354216247707605,0.0365181828827434,0.0444444758226974
0.00822192177469536,0.00603180087129084,0.0104104715148128,0.0339231315928978,0.0558266224188421,0.0369864426841529
0.0138763089817412,0.00938902761215616,0.0165793601661998,0.0718395728027366,0.0637776381422693,0.150545880180479
0.0182830934059019,0.00846056024863708,0.0167684999484864,0.0150198844296657,0.0108256680286762,0.0143066927669198
0.0164995464188389,0.00930643494444218,0.0169283199903027,0.0287775389872712,0.0183638032372607,0.0208310972595508
0.00548093313740129,0.00489033275179748,0.0131915741329613,0.0640539677084913,0.147989562928473,0.117515233329733
0.0107145759129319,0.00801219037747615,0.0142888268628,0.0353591171698983,0.0545763584195917,0.0542809203850987
0.0182389251169112,0.01188018789087,0.0194161699593171,0.0590039023963047,0.114364219674835,0.114132238823434
0.0108630382829688,0.00779119673740957,0.0118626099451176,0.0543182855922997,0.0682496384155988,0.113823326783069
0.0139667551146119,0.00861512987090572,0.0148775309214433,0.0207972354104941,0.0115485986663468,0.0159641417809216
0.00921670443269782,0.00675746379729944,0.0100547780176478,0.0234796190049402,0.0194239785937532,0.0192425303434402
0.0175286337707163,0.0100738126291936,0.0183834529243634,0.053731956441591,0.280593850798655,0.064640778314163
0.0168418994855264,0.00787355731268062,0.0164306752810732,0.0241166016015528,0.0166099093779864,0.0152264014604374
0.0162741915823423,0.00782004287077181,0.0149688465329926,0.017185450591573,0.0109617906734895,0.0129918181848428
0.0165534905823926,0.00781108381300267,0.015989460591421,0.0361739050167687,0.0342091962984455,0.0320772202243926
0.0207500619693526,0.014350638945437,0.0228086106170879,0.0467114191343211,0.184439339380505,0.121784134991572
0.0157501228225892,0.0102622990221932,0.0172576816722339,0.0246389970609982,0.0234508332871489,0.0180440180517534
0.0120248997317604,0.00855737513174445,0.0172473768308118,0.0691895393215075,0.369534616734683,0.178872524599603
0.0190661790655002,0.0123056819812939,0.0204433634010186,0.0259897339444977,0.0231069829545419,0.0193095944307544
0.0114456656499893,0.0073506566375624,0.0124014176101449,0.0457552740539645,0.078631503288139,0.0472904601695089
0.00942771134597536,0.00622302936469568,0.0103985118813931,0.0506652287850133,0.0527609199696291,0.0521391208403902
0.0180961018977726,0.00985336907241223,0.0178246394818793,0.0366478536912641,0.0266479158460824,0.028004938561862
0.0151104162630564,0.00762148320023244,0.0147660682089039,0.0176454579060579,0.0150797520944984,0.0126848064997662
0.0183153076897496,0.00884803342925891,0.0170049583203987,0.0238704533661357,0.0165342037811695,0.0149144259382276
0.0080549739356192,0.00473932990696028,0.0089604654659665,0.0420416464448781,0.0832928004853167,0.0597693740925076
0.0196179402163461,0.0110090300945295,0.0187166962918724,0.0594450850129089,0.346358553260024,0.139694003786573
0.0056356795971257,0.00421245036564444,0.00687038093041847,0.0522672224935871,0.063173075717184,0.0677598389055039
0.0260432331110758,0.0112391753124082,0.0259125359078732,0.0230486577039287,0.0138710287593308,0.0158655253168107
0.00613520941044444,0.00446361537182646,0.00836173885347747,0.0161040067590274,0.012534618709714,0.0107380637505372
0.0182144594101498,0.013239031721236,0.0218550708381663,0.042640026843426,0.0480700834543945,0.0544076568934419
0.0170654242050346,0.00896026502536372,0.0165596349177101,0.0227480335946555,0.0191467222017025,0.018516262516403
0.0137945090358077,0.00894538411711338,0.0170869048302935,0.0299366785486342,0.0285768767667286,0.0218120252197481
0.012667861040705,0.0083598494247073,0.0136642160492485,0.0302746440416489,0.0327765541306266,0.0271855864088527
0.0108758114954332,0.00808957313556754,0.0134412987700067,0.0261462936004303,0.0249897233719875,0.0194246763371719
0.0650679778185984,0.0453782853524105,0.0604844624306606,0.0366824485727747,0.0263751734155468,0.0227273777642239
0.0200185812445199,0.0153280108757943,0.020451059517929,0.0377399688890519,0.029011590436511,0.0277694205705328
0.012443955607229,0.00775364477573464,0.0134171755604921,0.0305117151538872,0.0307977601056975,0.0298399013818287
0.015272476099764,0.00917460077501272,0.0159751810648102,0.0471157331457724,0.060652507942206,0.0791780497207319
0.0137905059613765,0.00983085290309394,0.0163007523011852,0.0527857680029607,0.0902291391822687,0.122645644602433
0.0143697237259948,0.00789245284854697,0.0143444055825591,0.0301120625941288,0.0278227645374728,0.0235196158052373
0.00917946117073305,0.00681552029699868,0.0119034745316379,0.0511322994035178,0.0650855425397262,0.0409181029505867
0.0105644592641411,0.00732312937461077,0.01175008016532,0.0269174726887657,0.020974996349918,0.0308116942481581
0.00843836788535185,0.0053214643050952,0.00971537759450801,0.0235454827445052,0.0172162917726682,0.0178368353958351
0.014486987871596,0.01107532572484,0.0137440542878966,0.0395445038427268,0.0322436339456822,0.0516980662282732
