"","V1","V2","V3","V4","V5","V6"
"sub10565",0.410956236111834,0.0736341019325738,0.128867967675652,0.104045915016532,0.247860433565655,0.113511220012496
"sub10570",0.742274178958029,0.106134281497331,0.114242704084489,0.11233913643158,0.051327452076418,0.0435313989890513
"sub10575",0.293155529839689,0.0277606339365213,0.0648308671425645,0.074920528985104,0.0438299693791277,0.0550912101706363
"sub10624",0.377843531095656,0.0746437487001729,0.0819248167778394,0.110100570503987,0.212801164306118,0.116261088968931
"sub10629",0.401108931363025,0.0656049539680907,0.0149739295782978,0.159255115182327,0.0329097065026621,0.0545401382582394
"sub10631",0.356604371743199,0.0627102461509093,0.0147857196621452,0.0659971717261992,0.0489701001987945,0.0543034847291435
"sub10638",0.343184282713734,0.0480978931464241,0.0783528344965221,0.120133163264555,0.118198323055322,0.0871347747065453
"sub10668",0.460686818504458,0.0640630143693266,0.0536928140446489,0.156941984033059,0.0164583961735847,0.0176007140242142
"sub10672",0.597811496783702,0.159174104028037,0.0295550591892748,0.113585982756291,0.0327506436605041,0.0298466952645591
"sub10674",0.425665148687301,0.0525949002495371,0.0542995195483909,0.0903480627756753,0.100433131813309,0.0639515996692979
"sub10678",0.344294813667901,0.0532782292764629,0.134590648831602,0.0910033413510693,0.493666800569232,0.100148577256992
"sub10680",0.317671056130178,0.0325990037690467,0.0476715456285387,0.132607468105582,0.0141204049733685,0.0188500304155389
"sub10686",0.525332331625475,0.0847841573436831,0.0918187992933202,0.144017982659215,0.0135489733759374,0.0129171108289712
"sub10692",0.344536460923121,0.0408350485986675,0.0411672688855489,0.122204881082805,0.0285943991656903,0.0231660230188415
"sub10704",0.380843942095197,0.0564456545820743,0.0146991663263952,0.186477440820799,0.0371251232241331,0.0841451615452289
"sub10707",0.403437186060659,0.0593503448307904,0.0768107851875901,0.120428912354613,0.0611879083794431,0.0633849334829695
"sub10708",0.339596456246226,0.0332404990096892,0.0472425405545412,0.147357018809706,0.0692860630140744,0.0707389693477872
"sub10719",0.395157894424015,0.0746425464532391,0.0869688340715385,0.0745533478795141,0.0703701474590235,0.0584866856141043
